CountryID,Country,Year,AMA exchange rate,IMF based exchange rate,Population,Currency,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Changes in inventories,Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP),GDP_Growth_Rate,Population_Growth_Rate,Exports of goods and services_Growth_Rate,Imports of goods and services_Growth_Rate,Gross capital formation_Growth_Rate,Final consumption expenditure_Growth_Rate,Per capita GNI_Growth_Rate,Manufacturing_Growth_Rate,"Agriculture, hunting, forestry, fishing_Growth_Rate"
8,Albania,1971,5.0,5.0,2389812.0, Lek ,976.0,889758995.0,59074883.0,246266478.0,523137162.0,1561968405.0,211681441.0,848318607.0,789243724.0,1350286963.0,519031885.0,406050295.0,817625694.0,194253684.0,2413182393.0,47022973.0,218254570.0,2332419015.0,2330584860.0,2.869370689813344,2.799506695613374,2.8782448364124136,2.8609164855943447,2.8451944512288385,2.8767232039154766,0.10256410256410664,2.8892874620104925,2.8868852308843174
8,Albania,1972,5.0,5.0,2455171.0, Lek ,977.0,915350702.0,60818843.0,253312262.0,538480502.0,1606908267.0,217744245.0,872343965.0,811525122.0,1389164022.0,533991647.0,417663130.0,841009277.0,199867591.0,2482483855.0,48381941.0,224562082.0,2399402905.0,2397526448.0,2.8723085414705807,2.7349013227818686,2.9329478222003935,2.882243351966718,2.8321149390985845,2.8771300274796463,0.10245901639345245,2.859949898571057,2.8762515629302543
8,Albania,1973,5.0,5.0,2520436.0, Lek ,979.0,941147592.0,63668482.0,260505787.0,553185620.0,1652656555.0,223896669.0,898790644.0,835122162.0,1428759886.0,549392880.0,429539992.0,864924791.0,205932186.0,2553736359.0,49849969.0,231376034.0,2468449903.0,2466543461.0,2.878675772589423,2.6582669801818337,2.730854310487185,2.8841711450965812,3.0316801698742735,2.8469757072946855,0.20470829068577334,2.843646265831512,2.8182520583242
8,Albania,1974,5.0,5.0,2585452.0, Lek ,982.0,969063811.0,63077388.0,268239525.0,569621270.0,1700683918.0,230586803.0,922806967.0,859729579.0,1470097115.0,564865686.0,442272785.0,890563577.0,211067032.0,2627172195.0,51092986.0,237145264.0,2539022289.0,2537015817.0,2.8571301140353222,2.5795536962652577,2.9710913309713316,2.8163462912005777,2.672070872157417,2.906070402510208,0.3064351378958108,2.9642858027524532,2.9661892818188207
8,Albania,1975,5.0,5.0,2650122.0, Lek ,986.0,996627620.0,66365511.0,275682329.0,587262561.0,1749635603.0,236994563.0,948579365.0,882213855.0,1512641040.0,581508042.0,454532595.0,915249547.0,217701614.0,2702559685.0,52699055.0,244599520.0,2612201506.0,2610110369.0,2.8811232279361,2.5013034471341955,3.0970211136954306,2.9462501285659526,2.79282655220785,2.8783529074331016,0.40733197556008793,2.772001899235099,2.8443750233079435
8,Albania,1976,5.0,5.0,2713560.0, Lek ,991.0,1022980841.0,72916268.0,283335184.0,599747151.0,1797864494.0,243416374.0,983026379.0,910110111.0,1554448120.0,598313395.0,467235377.0,940829093.0,225249517.0,2780000928.0,54526020.0,253080274.0,2687860264.0,2685745678.0,2.897782020956363,2.393776588398566,2.1258957796902678,2.8899605484733693,3.631431936114282,2.7565106081120394,0.5070993914807254,2.7946911046060396,2.644239480338695
8,Albania,1977,5.0,5.0,2774795.0, Lek ,996.0,1057872940.0,60771768.0,292843798.0,621912220.0,1853301729.0,251878343.0,998756168.0,937984400.0,1601423386.0,613947755.0,482777882.0,972124733.0,227235455.0,2860395091.0,55006962.0,255311203.0,2762847360.0,2760746397.0,2.7925473217498054,2.2566296673005137,3.695735605086692,2.613072033929642,1.6001390538473048,3.083504634804801,0.5045408678102881,3.3264829174097343,3.4108262443988346
8,Albania,1978,5.0,5.0,2833314.0, Lek ,1004.0,1084112844.0,77073456.0,299271168.0,643516286.0,1905109255.0,257304794.0,1030292284.0,953218828.0,1647804462.0,634434147.0,493385987.0,993483439.0,238873997.0,2941953465.0,57824371.0,268387646.0,2844334321.0,2842275926.0,2.953169805404632,2.1089485889948634,3.473812751259331,3.3368298577783673,3.1575390481092924,2.7954177773283684,0.8032128514056325,2.1973055095344973,2.4804400422606454
8,Albania,1979,6.167123287999999,6.167123287999999,2888763.0, Lek ,822.0,896897900.0,76669259.0,249378663.0,517741716.0,1581494846.0,213827206.0,886743469.0,810074210.0,1367667641.0,528366688.0,411464971.0,828532376.0,202245990.0,2453247358.0,48957156.0,227235273.0,2374394861.0,2372305641.0,-16.53499861505001,1.9570368833105034,-19.544893072061274,-16.718434766090862,-13.93282442557825,-16.9866588045104,-18.127490039840634,-16.60383921686045,-17.268953599815482
8,Albania,1980,7.0,7.0,2941651.0, Lek ,729.0,835437843.0,14142857.0,230908941.0,495098223.0,1450000000.0,199285714.0,747571429.0,733428571.0,1250714286.0,473812509.0,380354207.0,765881710.0,166275409.0,2225573162.0,40250836.0,186818422.0,2143663211.0,2141837051.0,-9.714961934788914,1.830818242964205,-4.3735114054437085,-10.32506027329263,-15.694735271853466,-8.31459212988166,-11.31386861313869,-7.5609750993845815,-6.852514316289515
8,Albania,1981,7.0,7.0,2992389.0, Lek ,741.0,833341568.0,94000000.0,228080357.0,509174644.0,1478142857.0,195857143.0,807857143.0,713857143.0,1282285714.0,500031787.0,376047385.0,757205753.0,197719081.0,2286356598.0,47862121.0,222147718.0,2217065873.0,2215474766.0,3.4380633655403114,1.7248137185546408,2.843157245587613,5.533682100402282,8.064207868489849,1.9408866896551746,1.6460905349794164,-1.1323187494019171,-0.25091932542490314
8,Albania,1982,7.0,7.0,3041179.0, Lek ,750.0,839214356.0,109285714.0,238543430.0,441832335.0,1495428571.0,202857143.0,929714286.0,820428571.0,1292571429.0,504546621.0,394549214.0,794485919.0,202688856.0,2351731170.0,49062506.0,227736104.0,2281860173.0,2280424885.0,2.931656906987312,1.6304698353055036,-13.225778187022208,0.9029093984379122,15.083996478322902,1.169421069021892,1.2145748987854255,4.920079154386348,0.7047275961637789
8,Albania,1983,7.0,7.0,3087911.0, Lek ,747.0,912584019.0,15714286.0,240076335.0,419501686.0,1569428571.0,209571429.0,851857143.0,836142857.0,1359857143.0,452501686.0,393467139.0,792268727.0,189004265.0,2392038998.0,45756103.0,212349548.0,2306629795.0,2305384485.0,1.0945153319531498,1.5366408882870664,-5.054100216544811,-10.315188494741701,-8.374308556123445,4.9484142161678735,-0.40000000000000036,-0.2742560272848471,8.742660617688468
8,Albania,1984,7.0,7.0,3131726.0, Lek ,728.0,874483025.0,-123428571.0,239213923.0,396275855.0,1626571429.0,221857143.0,747857143.0,871285714.0,1404714286.0,413132998.0,395515949.0,796395710.0,189062501.0,2357344601.0,45765498.0,212423943.0,2279520873.0,2275736342.0,-1.2860389749695056,1.418920428729975,-5.536528642223382,-8.70023012466743,-12.208619820189737,3.6409976889607787,-2.5435073627844695,0.5207067622488237,-4.175066975394848
8,Albania,1985,7.0,7.0,3171725.0, Lek ,733.0,933658742.0,11142857.0,238587136.0,377381357.0,1635571429.0,224000000.0,810285714.0,799142857.0,1411571429.0,415238500.0,398412055.0,802339998.0,186354678.0,2415437990.0,45101359.0,209396078.0,2326070204.0,2324414456.0,2.139004993751592,1.2772190159675567,-4.768016461664059,0.5096426599165094,8.34765992199662,0.5533110836413169,0.6868131868131844,0.7322349471171385,6.766937185544575
